text,clean_text,date
The team delivered a steady floor routine during the all around final qualification round. score arena.,team delivered steady floor routine all around final qualification round score arena,2021-07-27
The all around final final featured a clean balance sequence and a strong result. arena routine.,all around final final featured clean balance sequence strong result arena routine,2021-08-03
A strong performance in the freestyle race helped secure a bronze medal for the team. final record.,strong performance freestyle race helped secure bronze medal team final record,2021-07-28
The vault event final featured a clean floor routine and a strong ranking. vault routine.,vault event final featured clean floor routine strong ranking vault routine,2021-07-25
The track final at the track stadium ended with a thrilling heat and a gold medal. sprint runner.,track final track stadium ended thrilling heat gold medal sprint runner,2021-07-31
The coach praised the national team after the group match on the arena. offense quarter.,coach praised national team group match arena offense quarter,2021-07-23
Fans enjoyed the light show during the closing ceremony as the national colors filled the stadium. stadium celebration.,fans enjoyed light show closing ceremony national colors filled stadium stadium celebration,2021-08-03
Weather in the city changed quickly and many people talked about transport issues.,weather city changed quickly many people talked about transport issues,2021-08-03
The crowd reacted loudly during the 400m race final in the track stadium. final relay.,crowd reacted loudly m race final track stadium final relay,2021-08-04
The stadium looked amazing during the stadium celebration and the dance performance was memorable. crowd closing.,stadium looked amazing stadium celebration dance performance memorable crowd closing,2021-08-02
A strong defense in the last quarter helped the men team secure the win. team final.,strong defense last quarter helped men team secure win team final,2021-08-03
A strong performance in the swimming relay helped secure a bronze medal for the team. gold medal.,strong performance swimming relay helped secure bronze medal team gold medal,2021-07-25
Food near the venue was expensive but the coffee was still good in the morning.,food near venue expensive but coffee still good morning,2021-07-28
The team delivered a steady floor routine during the beam event final. gymnastics team.,team delivered steady floor routine beam event final gymnastics team,2021-07-25
The gymnast improved the score after an excellent beam routine in the vault event. routine vault.,gymnast improved score excellent beam routine vault event routine vault,2021-08-04
The coach praised the basketball team after the semifinal on the court. defense basketball.,coach praised basketball team semifinal court defense basketball,2021-07-25
The athlete dominated the butterfly final in the aquatic center and earned a bronze medal. pool relay.,athlete dominated butterfly final aquatic center earned bronze medal pool relay,2021-07-31
The athlete dominated the butterfly final in the pool and earned a bronze medal. relay butterfly.,athlete dominated butterfly final pool earned bronze medal relay butterfly,2021-07-27
The basketball team controlled the final minutes with solid teamwork and earned the important victory. offense defense.,basketball team controlled final minutes solid teamwork earned important victory offense defense,2021-07-24
The beam event final featured a clean balance sequence and a strong result. balance score.,beam event final featured clean balance sequence strong result balance score,2021-08-04
A strong performance in the freestyle race helped secure a gold medal for the team. record medal.,strong performance freestyle race helped secure gold medal team record medal,2021-07-23
The player stayed calm in the final set and earned a podium place. win set.,player stayed calm final set earned podium place win set,2021-08-04
The closing ceremony created a strong sense of unity with music and national flag display. crowd ceremony.,closing ceremony created strong sense unity music national flag display crowd ceremony,2021-07-24
The crowd reacted loudly during the 400m race heat in the stadium. medal relay.,crowd reacted loudly m race heat stadium medal relay,2021-07-23
The player stayed calm in the final set and earned a podium place. win tennis.,player stayed calm final set earned podium place win tennis,2021-07-30
The swimming relay heat in the pool was exciting and the team won a gold medal. lane medal.,swimming relay heat pool exciting team won gold medal lane medal,2021-07-25
The player stayed calm in the final set and earned a podium place. set serve.,player stayed calm final set earned podium place set serve,2021-08-03
Fans enjoyed the light show during the opening ceremony as the national colors filled the main arena. closing opening.,fans enjoyed light show opening ceremony national colors filled main arena closing opening,2021-07-25
The stadium celebration in the main arena included a music show and a beautiful flag display. crowd team.,stadium celebration main arena included music show beautiful flag display crowd team,2021-08-04
The crowd reacted loudly during the relay race final in the track stadium. final medal.,crowd reacted loudly relay race final track stadium final medal,2021-07-24
The athlete dominated the freestyle race in the aquatic center and earned a gold medal. final freestyle.,athlete dominated freestyle race aquatic center earned gold medal final freestyle,2021-07-24
Travel delays and hotel check in problems made the day more stressful than expected.,travel delays hotel check problems made day more stressful than expected,2021-07-29
A beautiful vault landing in beam event impressed the judges and led to a gold medal. medal score.,beautiful vault landing beam event impressed judges led gold medal medal score,2021-08-03
A powerful rallies helped the player win the tennis match final. serve medal.,powerful rallies helped player win tennis match final serve medal,2021-07-26
Fans celebrated the gold medal after the swimming relay final ended with a new strong comeback. relay final.,fans celebrated gold medal swimming relay final ended new strong comeback relay final,2021-08-01
The coach praised the men team after the group match on the arena. defense score.,coach praised men team group match arena defense score,2021-08-01
The beam event final featured a clean floor routine and a strong score. medal beam.,beam event final featured clean floor routine strong score medal beam,2021-07-29
A strong ball movement in the last second half helped the men team secure the important victory. defense court.,strong ball movement last second half helped men team secure important victory defense court,2021-07-23
The women team showed great defense in the semifinal and closed the game with a big final score. defense win.,women team showed great defense semifinal closed game big final score defense win,2021-07-29
The athlete dominated the pool final in the pool and earned a gold medal. pool relay.,athlete dominated pool final pool earned gold medal pool relay,2021-07-24
